,title,owner,location,create_time,readers_count,likes_count,article_url,hour,recall
10,"答应我，一定要看完这篇 AI 提示词面试指南再去面试[可怜]

大家好，我叫 Lisa ，目前在深圳。

我是一个破局小透明，感谢洋哥的 IP 商业定位和小林老师的耐心指导，目前利用了自己的优势，猎头+老 HR 的身份做了职场赛道。

在过去的 10 年如一日看简历，面试中，也积累了一些关于面试的相关经验。

今天，我将分享 AI 领域最火热的职位：《AI 提示词工程师》这个岗位面试技巧，希望可以帮助大家实现 offer 的倍增。

接下来我将从通用问题、专业经验、团队经验和求职动机等几个不同维度展开，

全文总计 1W+ 字，可能需要您的几分钟阅读时间。
您可以查看我的飞书链接：

<e type=""web"" href=""https%3A%2F%2Ff5zm66ijlf.feishu.cn%2Fdocx%2FL8j3dKVzao88MHx7up4cazvXnGc"" title=""https%3A%2F%2Ff5zm66ijlf.feishu.cn%2Fdocx%2FL8j3dKVzao88MHx7..."" />",阿柯～lisa,广东,2023-11-04T22:54:54.440+0800,3415,135,,22,1
11,知乎小白阅读量 20W＋，被中科院博士付费咨询，我做对了什么？,秋仁,广东,2023-11-03T21:55:07.364+0800,3288,84,https://articles.zsxq.com/inline_form/id_m4qhblle5l3f.html,21,0
12,"分享一个风向标

播放量直接过亿，主页访问量也近百万

用Animatediff做AI动画，前天一期抖音200w赞，昨天一期68w赞，估计最后也能破百万赞，而这还只是第二期
​
​在AI这行呆得越久，经历的小周期越多，越能看清一些东西，基本上每隔一段时间就会出来一个好玩的，里面就蕴含了非常多套利的机会

可以类比上一个这样爆火的AI内容",吴东子,福建,2023-11-02T20:02:38.142+0800,2749,119,,20,0
13,2个半月，变现35W+，《AI写作变现课》实操复盘（万字精华，慎入）,贺翔,四川,2023-11-02T16:58:36.722+0800,3683,157,https://articles.zsxq.com/inline_form/id_ws5o5hzjwjli.html,16,0
14,"[呲牙]亲爱的小伙伴们，破局招聘啦🎉🎉～

对内容运营、社群运营、流量运营感兴趣的小伙伴们看过来～

❤️坐标🏠：北京市
❤️岗位方向：内容运营、社群运营、流量运营
❤️招聘人数：2-3人
❤️简历投递通道：<e type=""web"" href=""https%3A%2F%2Fjinshuju.net%2Ff%2FqHwe2z"" title=""AI%E7%A0%B4%E5%B1%80%E4%BF%B1%E4%B9%90%E9%83%A8%E2%80%9C%E5%85%A8%E8%81%8C%E5%91%98%E5%B7%A5%E2%80%9D%E6%8A%A5%E5%90%8D%E8%A1%A8"" />


❤️岗位1：内容&平台运营

【人数】2人

【岗位职责】
1.负责AI破局俱乐部的内容运营，包括鼓励用户生产内容和识别内容风险，能够及时处理和反馈；
2.能够策划和执行社群活动，制定Sop，提升用户活跃度，能够筛选出高价值用户；
3.善于线上/线下的活动策划，能够维护好与核心圈友的关系。

【任职要求】
1.本科及以上学历，1~3年运营工作经验；包括但不限于内容运营、社群运营和活动运营；
2.喜欢和内容、用户打交道、工作有条理、细心耐心；
3.有一定的文档写作能力，能够对外清晰准确地表达文字意图；
4.有较强的自驱力和推动力，能够独立分析和解决问题；


❤️岗位2：流量运营

【人数】1人

【岗位职责】

【岗位职责】
1.负责付费会员用户转化、管理以及线上线下活动及权益的交付
2.负责通过社群运营/一对一沟通等帮助会员完成人脉资源相关内容的对接
3.根据用户需求，负责线上会员日常及活动等运营策略落地执行
4.联动配合线下活动交付运营
5.负责会员续费转化及商业订单相关线索收集及对接运营

【专业能力要求】
1.工作责任心强，结果导向，具有互联网社群/用户/会员运
2.营实操经验，熟悉微信生态玩法
3.对产品各项功能及价值有清晰的了解，并且能够灵活运用
4.学习能力强，具有一定的泛商业知识储备以及内容审美，对运营数据敏感

【综合素质要求】
1.具有较强的用户思维，用户洞察能力，能够敏锐的洞察到用户的需求，进行收集和梳理反馈
2.具有较强的沟通能力，能灵活应对一对一沟通/社群运营/线下沟通等场景",竹子 | 洋哥助理,北京,2023-11-02T14:47:02.278+0800,3271,44,,14,0
15,"大家下午好呀，大家期待已久的线下活动来啦～🎉

AI破局俱乐部旨在“从AI能力的应用出发，带领更多的人在AI时代富起来”。经过将近8个月的实践，破局做了很多尝试，目的是帮助大家更快更好的掌握AI技能，开启自己的超级个体之路，在AI时代先富起来。

🤔️在思考“破局后面如何做的更好”的时候，破局希望能够带领大家更灵活、高效、有成果的行动起来获取成果和正反馈。所以，破局发起了“分城市线下活动”，让圈友更近、更快、更好、更深入的链接互动起来。

因此，破局希望能够在每个城市找一些（每个城市差不多10-20位）活跃圈友，经过充分沟通和培训后，来担当破局会谈官，在之后的破局会谈中，扮演临时的破局官方的角色参与到线下，来服务好参加破局对谈的圈友。

😁虽说是“会谈官”，但不是“官”，希望心态上和破局倡导“坦诚、利他”的宗旨一样，咱们扮演的是一个服务者的角色，未来时机成熟后，每个城市都会有破局分会，分城市负责人也将优先从优秀的破局会谈官中选出。

每一个报名的会谈官，我们都会有一个沟通，对于沟通通过的会谈官，会根据实际后续的线下工作，破局将发AI之心、AI之心碎片等感谢他们，并邀请来到线下一起交流，当然，我相信很多人也不是冲着AI之心来，本身多交一些破局的朋友，更好的碰撞认知也是很开心的事情。

如果你有时间、有兴趣、有足够的热情、组织能力和沟通能力，热烈欢迎你填写表单报名，给圈友们一个认识你、链接你的机会吧。

✨1.会谈官报名链接：<e type=""web"" href=""https%3A%2F%2Fd16rg8unadx.feishu.cn%2Fshare%2Fbase%2Fform%2FshrcnYn4lYhLgRarWOa6bcNcf78"" title=""https%3A%2F%2Fd16rg8unadx.feishu.cn%2Fshare%2Fbase%2Fform%2Fshrc..."" />

✨破局会谈重要信息声明

--✨破局会谈官方不收取任何费用，大家参与会议的费用AA制即可。
--✨破局会谈采用“去中心化，分布式”的形式发起，会谈官提交组局申请，通过审核后竹子助理会公布到星球，大家自行报名
--✨仅支持破局圈友参与。
--✨多次担任会谈官，有望选为破局分城市负责人。
--✨请大家自发维护破局场域。有任何不良现象都可向破局官方反馈，官方已开通反馈问卷通道。


在一场破局会谈中，重要的是会谈官与核心分享者，所以，通过审核后，会谈官每组织一场会谈，可以获得一颗AI之心碎片，核心分享者也可以获得一颗AI之心碎片。

每一位第一次获得AI之心的圈友，或多或少应该都得到了其他破局圈友的帮助或者启发，所以可以提名三个圈友，并说明他们在哪些地方对于你获得AI之心有帮助，通过审核后，破局将给这三位圈友每人发放一颗AI之心碎片用于感谢。

后续，破局也会面向AI之心圈友的专属<e type=""hashtag"" hid=""48881421428888"" title=""%23AI%E4%B9%8B%E5%BF%83%E4%BC%9A%E8%B0%88%23"" /> ，以便更好的服务在破局有突出贡献的圈友。

目前，以上公布的规则在即日起开始试运营。在运营的过程中，破局会实时收集反馈，及时的调整相关规则，以便更贴合破局圈友的实际需求。


❤️破局为大家准备了完整的活动相关的内容手册（附截图），链接附在评论区。大家有感兴趣的可咨询竹子助理。

大家如果有其他的手册说明，可以随时和竹子反馈，会及时的同步更新进来。

💓期待与大家的相见～

💓破局的一切努力，都只为你的“破局”。",竹子 | 洋哥助理,北京,2023-10-31T15:12:40.027+0800,5842,110,,15,0
16,两个月变现7W＋，AI 小白的破局之旅！,皮特,浙江,2023-10-29T18:58:05.070+0800,4443,135,https://articles.zsxq.com/inline_form/id_wf85nz1hzsw0.html,18,0
17,AI 绘画，变现 2300+,Baoxing,吉林,2023-10-26T23:34:31.854+0800,4322,106,https://articles.zsxq.com/inline_form/id_zmvs6l30sxsj.html,23,0
18,"《SD视频版教程第二期：关键词模板！公式化写出高质量关键词》

大家好！我是吴东子

感谢大家对昨天第一期的喜欢，今天发布第二期：关键词

SD终极教程系列一共有5期基础教程：SD入门、关键词、Lora模型、图生图、ControlNet

视频中提到的网盘链接：<e type=""web"" href=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1IC7OojVkvcb1yJSRocJfkA%3Fpwd%3Dwdz6"" title=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1IC7OojVkvcb1yJSRocJfkA%3Fpw..."" /> 
提取码：wdz6",吴东子,福建,2023-10-26T18:51:59.080+0800,3946,77,,18,0
19,"[嘿哈]宝子们～有没有很心动，[奸笑]想不想要借助 AI 辅助自己去开发产品？

这期视频邀请到圈友<e type=""mention"" uid=""812582488455482"" title=""%40%E7%86%8A%E7%8C%ABJay"" />   ，和大家分享如何用 ChatGPT 做一个属于自己的插件。

<e type=""mention"" uid=""812582488455482"" title=""%40%E7%86%8A%E7%8C%ABJay"" /> 一步步教大家学会结合提示词去描述需求，让 ChatGPT 提供代码，然后逐步排查问题，最终拿到满足自己需求的插件。

学会这些思路后，大家不仅可以做出一个插件，还可以运用到其他产品开发当中。这里面会有不少专业术语，大家可以结合文章来看：<e type=""web"" href=""https%3A%2F%2Fzzi7a49xoa.feishu.cn%2Fdocx%2FUqHDdgH03o1qcFxuOcdcEe4Fnlg"" title=""https%3A%2F%2Fzzi7a49xoa.feishu.cn%2Fdocx%2FUqHDdgH03o1qcFxu..."" />",竹子 | 洋哥助理,北京,2023-10-26T16:55:38.982+0800,3947,89,,16,1
20,"💥如何利用 AI 一分钟创作 20 条爆款标题！

🤔️你还在每次发小红书笔记之前都要绞尽脑汁去构思笔记标题应该怎么写吗？

今天这期视频，邀请到了圈友<e type=""mention"" uid=""118888111421222"" title=""%40%E5%A4%99%E6%84%BF"" /> 详细分享了如何用 AI 进行文字内容模仿创作。

教大家如何用五个句式，一套框架，从 0 到 1 一步一步设计迭代出一套“小红书爆款标题提示词”。让 AI 一分钟创作出20条爆款标题，显著提高创作效率。

这套方法不仅适用于标题创作,也可以应用到文案、文章、演讲稿等各种文字内容的创作中。

📒相关资料给大家放这里啦：<e type=""web"" href=""https%3A%2F%2Fzi6nfl20s5u.feishu.cn%2Fdocx%2FBsoed3MvwoCDh3xdDfxcdHxvn4e"" title=""https%3A%2F%2Fzi6nfl20s5u.feishu.cn%2Fdocx%2FBsoed3MvwoCDh3x..."" />

👀看完视频后，如果觉得有帮助，不妨给个赞，有疑问也可以在评论区留言呀。",竹子 | 洋哥助理,北京,2023-10-26T10:34:37.160+0800,4091,137,,10,1
21,Prompt深度总结长文的实操--8000字分享,卡尔,山东,2023-10-26T02:36:43.168+0800,3709,72,https://articles.zsxq.com/inline_form/id_vm976jiwnv74.html,2,1
22,"《SD视频版教程第一期：从零开始学AI绘画，Stable Diffusion终极教程！》

大家好，我是吴东子

应洋哥邀请，来破局发视频了，把AI教程制作成了视频版，后续也会在这里更新一些好玩的视频

SD系列一共有五期基础教程：SD入门、关键词、Lora模型、图生图、ControlNet

今天先发第一期，希望你们会喜欢这期视频

视频中提到的网盘链接：<e type=""web"" href=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1RrmCEWn2HyDXknO-ycaMuQ%3Fpwd%3Dwdz6"" title=""https%3A%2F%2Fpan.baidu.com%2Fs%2F1RrmCEWn2HyDXknO-ycaMuQ%3Fpw..."" />
提取码：wdz6",吴东子,福建,2023-10-25T18:49:01.908+0800,4163,185,,18,0
23,"大家好呀🎉～

竹子来给大家送上洋哥的十年故事啦。

风雨十年，洋哥经历四次创业，从意气风发到跌落低谷，从遭遇坎坷到重振旗鼓。十年间世事变化莫测，但不变的是洋哥心中的蓬勃宇宙，是“发现自己，成为自己”的使命。

这一次，他又来啦～

“打不死我的，都会让我更强大。”

洋哥用行动演绎“一个人，只能被杀死，不能被打败。”这一次他用速度造就传奇，用成果铭记奇迹。用手把手带我们在AI时代一起创富～

YGNB[拳头][拳头][拳头]
YGNB[拳头][拳头][拳头]
YGNB[拳头][拳头][拳头]",富而喜悦的竹子,北京,2023-10-25T17:26:48.003+0800,6205,118,,17,0
24,入局AI八个月小赚6位数经历复盘,叫我峰兄,北京,2023-10-25T10:47:35.037+0800,3994,81,https://articles.zsxq.com/inline_form/id_d2uz9o2aksed.html,10,0
25,"福利有奖竞猜答案来了！

比起1000块的福利竞猜，接下来的消息才是更大的福利！

重要通知：AI之心激励体系2.0来了

一直以来，AI破局很多圈友为社群的建设和发展做了很多贡献，为了更好的回馈大家，并使我们紧密相连，在5月的时候我们推出了AI之心1.0，用来感谢“真诚”、“利他”的破局人。

社群不断发展，我们的激励体系也需要更加完善，这次的迭代，我们不仅增加了AI之心的权益，还增加了一些新的消耗方式，为了更好的帮助大家了解，我们做了一张海报，放在下方。如果你有消耗需求，请联系小助理poju2311，并注明来意。

目前，20晶体可以兑换一枚心片，七枚心片可以兑换一颗AI之心

AI之心/心片统计榜单：<e type=""web"" href=""https%3A%2F%2Fd16rg8unadx.feishu.cn%2Fwiki%2FOQkewVBMjiZ7M4kggl6cnpFznMi%3Ffrom%3Dfrom_copylink"" title=""https%3A%2F%2Fd16rg8unadx.feishu.cn%2Fwiki%2FOQkewVBMjiZ7M4k..."" />

晶体统计榜单：<e type=""web"" href=""https%3A%2F%2Fd16rg8unadx.feishu.cn%2Fwiki%2FWQNAwBLshi5ufdkYrp9cna6Nn7c%3Ffrom%3Dfrom_copylink"" title=""https%3A%2F%2Fd16rg8unadx.feishu.cn%2Fwiki%2FWQNAwBLshi5ufdk..."" />

最后，希望大家在社群中，多帮助他人，多分享自己的价值。",findyi,北京,2023-10-23T20:00:47.388+0800,4280,90,,20,0
26,AI绘画订制工作流，变现1980,段老湿,天津,2023-10-23T14:59:08.729+0800,4185,95,https://articles.zsxq.com/inline_form/id_7sofwlttl1f1.html,14,0
27,"七天单篇公众号爆文阅读量 43w+，收益 4300+，涨粉 1000+。目前来看，公众号流量主这个项目还是值得投入的。接下来对爆文的解析及背后推荐算法的解密，这可能是全网最详细的推荐算法解析了。
详情请看飞书链接：<e type=""web"" href=""https%3A%2F%2Fs0rvna0a0sl.feishu.cn%2Fwiki%2FJiwWwjOhWiHa80kQ16icfUuXnEg%3Ffrom%3Dfrom_copylink"" title=""https%3A%2F%2Fs0rvna0a0sl.feishu.cn%2Fwiki%2FJiwWwjOhWiHa80k..."" />",小飞仙,湖北,2023-10-22T09:22:56.846+0800,3501,52,,9,0
28,30天，知乎从0到日阅读量3W+，我是如何做到的,冯帅Prompt,北京,2023-10-22T09:03:02.904+0800,4291,105,https://articles.zsxq.com/inline_form/id_be2w64xvbp90.html,9,0
29,套现过千万，放弃网易200万年薪，六个月创建近3万人社群，All in AI：今天总结了一篇必看复盘,findyi,北京,2023-10-21T19:11:45.333+0800,4499,196,https://articles.zsxq.com/inline_form/id_zapj4ujewsej.html,19,0
30,程序员创业，怒砸百万做AI工具,闲富咨询【软件商业】,浙江,2023-10-20T20:40:52.212+0800,4373,75,https://articles.zsxq.com/inline_form/id_rsq66izj7v07.html,20,0
31,破局俱乐部第001号视频内容来啦！好久没做，手生的厉害，希望抛砖引玉，看到更多好视频内容的出现！,皮特,浙江,2023-10-19T21:37:05.251+0800,4476,184,,21,0
32,"AI破局企业服务中心来了[拳头][拳头][拳头][拳头]

在AI新时代，企业积极拥抱AI将拥有更强的竞争优势，不拥抱AI的企业大概率会逐渐被淘汰。

为此，AI 破局俱乐部专门成立了AI破局企业服务中心，汇集行业内最顶尖的AI企业应用专家，致力于为您提供专业的AI企业培训和AI解决方案💻。

我们的目标是帮助企业用好AI，提升企业效率、增强竞争力，并驱动持续的创新和增长🚀。

- 若您是老板或者企业培训采购方，寻求AI企业内训或AI应用咨询，扫描下方二维码即可联系我们。

- 若您是培训机构，有丰富客户资源，需要高质量的课程和讲师，也欢迎与我们联系，合作共赢[握手]！

- 若您是企业员工，企业有AI相关的企业需求，也可推荐AI破局企业培训服务，我们会为您提供丰厚的推荐奖励[礼物]和不菲的佣金！",findyi,北京,2023-10-19T21:17:38.558+0800,6254,112,,21,0
33,AI 写作，小赚 2 万+,闫小林,河南,2023-10-15T22:02:12.436+0800,5313,170,https://articles.zsxq.com/inline_form/id_ugwtooktqvil.html,22,0
34,《小七姐的 AI 提示词》小册裂变复盘,小七姐,内蒙古,2023-10-15T11:54:13.865+0800,5012,113,https://articles.zsxq.com/inline_form/id_0dwnhn4b6uu9.html,11,1
35,不得不聊的 AI Agent,潘达,美国,2023-10-14T12:45:37.097+0800,4838,96,https://articles.zsxq.com/inline_form/id_tl83c1ogmtjc.html,12,0
36,逻辑差 ？表达差？Prompt 助你秒变高手,卡尔,山东,2023-10-13T15:45:00.525+0800,4806,101,https://articles.zsxq.com/inline_form/id_2rpbenccjf2s.html,15,1
37,"手把手教你AI＋公众号的底层逻辑和实操要点（这可能是近期讲AI＋公众号最细的一篇文章）

大家好，我是李书生，两颗AI之心获得者

近期AI＋公众号爆文火热无比，看见诸多的圈友拿到了成绩

早在一个月前，我也亲自带队下场实操，并也稍稍拿到了点成绩

一个月的实操、交流、感触颇多，经验汇聚成此文

本文目录如下：

一.微信公众号的起号逻辑

一）.流量的来源
1.订阅号消息列表-看一看
2.文章页底部的推荐
3.发现页-看一看入口推荐
二）.如何增大公众号以及文章被推荐的概率？
1.推荐入池概念的区分
2.公众号账号标签化原理
A.内容标签
B.账号标签
C.账号垂直阅读人群积累

二.公众号爆文的账号类型总结
一）家庭故事情感类目
二) 热点类
三）国学类
四）三农类
五) 名人名言类
六）历史类
七）AI类

三.公众号提示词写作
一）公众号爆文的两种玩法
1.RPA玩法
2.个人提示词赋能法
二）如何写出文章韵味？
1.案例
2.kow-how

因文章内容较多，烦请各位移步飞书，搬好小板凳，我们发车了~

<e type=""web"" href=""https%3A%2F%2Fc9udwbvfqq.feishu.cn%2Fdocx%2FXw42dhlqVomiyxxJZc6cgCAPnZH%3Ffrom%3Dfrom_copylink"" title=""https%3A%2F%2Fc9udwbvfqq.feishu.cn%2Fdocx%2FXw42dhlqVomiyxxJ..."" />",书生,山东,2023-10-12T17:13:17.515+0800,4811,113,,17,1
38,AI 助力培训课件设计：8 小时变现 3200 元,叶孑凡Martin,上海,2023-10-11T21:35:48.020+0800,4895,106,https://articles.zsxq.com/inline_form/id_hcexm12ikmso.html,21,0
